,city,state,geo_id,overall_risk,overall_readiness,risk_ready_cat
0,Abilene,TX,1600000US4801000,1,0,3
1,Akron,OH,1600000US3901000,1,1,4
2,Albuquerque,NM,1600000US3502000,0,1,2
3,Alexandria,VA,1600000US5101000,1,1,4
4,Allentown,PA,1600000US4202000,1,0,3
5,Amarillo,TX,1600000US4803000,0,0,1
6,Anaheim,CA,1600000US0602000,1,0,3
7,Anchorage,AK,1600000US0203000,0,0,1
8,Ann Arbor,MI,1600000US2603000,0,1,2
9,Antioch,CA,1600000US0602252,0,0,1
10,Arlington,TX,1600000US4804000,1,0,3
11,Arvada,CO,1600000US0803455,0,1,2
12,Atlanta,GA,1600000US1304000,0,1,2
13,Aurora (CO),CO,1600000US0804000,0,1,2
14,Aurora (IL),IL,1600000US1703012,1,0,3
15,Austin,TX,1600000US4805000,0,1,2
16,Bakersfield,CA,1600000US0603526,0,0,1
17,Baltimore,MD,1600000US2404000,1,1,4
18,Baton Rouge,LA,1600000US2205000,1,0,3
20,Beaumont,TX,1600000US4807000,1,0,3
21,Bellevue,WA,1600000US5305210,0,1,2
22,Berkeley,CA,1600000US0606000,1,1,4
23,Billings,MT,1600000US3006550,0,1,2
24,Birmingham,AL,1600000US0107000,0,1,2
25,Boise City,ID,1600000US1608830,0,1,2
26,Boston,MA,1600000US2507000,1,1,4
27,Bridgeport,CT,1600000US0908000,1,0,3
28,Brownsville,TX,1600000US4810768,1,0,3
29,Buffalo,NY,1600000US3611000,1,0,3
30,Burbank,CA,1600000US0608954,1,0,3
31,Burlington,VT,1600000US5010675,1,1,4
32,Cambridge,MA,1600000US2511000,1,1,4
33,Cape Coral,FL,1600000US1210275,1,0,3
34,Carlsbad,CA,1600000US0611194,0,1,2
36,Carrollton,TX,1600000US4813024,1,1,4
37,Cedar Rapids,IA,1600000US1912000,0,1,2
38,Centennial,CO,1600000US0812815,0,1,2
39,Chandler,AZ,1600000US0412000,0,1,2
40,Charleston (SC),SC,1600000US4513330,0,1,2
41,Charleston (WV),WV,1600000US5414600,0,0,1
42,Charlotte,NC,1600000US3712000,0,1,2
43,Chattanooga,TN,1600000US4714000,0,0,1
44,Chesapeake,VA,1600000US5116000,0,1,2
45,Cheyenne,WY,1600000US5613900,0,0,1
46,Chicago,IL,1600000US1714000,1,1,4
47,Chula Vista,CA,1600000US0613392,1,1,4
48,Cincinnati,OH,1600000US3915000,1,1,4
49,Clarksville,TN,1600000US4715160,0,0,1
50,Clearwater,FL,1600000US1212875,1,0,3
51,Cleveland,OH,1600000US3916000,1,0,3
52,Colorado Springs,CO,1600000US0816000,0,0,1
53,Columbia (MO),MO,1600000US2915670,0,1,2
54,Columbia (SC),SC,1600000US4516000,0,1,2
55,Columbus (GA),GA,1600000US1319000,0,0,1
56,Columbus (OH),OH,1600000US3918000,1,1,4
57,Concord,CA,1600000US0616000,1,1,4
58,Coral Springs,FL,1600000US1214400,1,1,4
59,Corona,CA,1600000US0616350,1,0,3
60,Corpus Christi,TX,1600000US4817000,1,0,3
61,Costa Mesa,CA,1600000US0616532,1,0,3
62,Dallas,TX,1600000US4819000,0,0,1
63,Daly City,CA,1600000US0617918,1,1,4
64,Davenport,IA,1600000US1919000,0,0,1
65,Dayton,OH,1600000US3921000,0,1,2
66,Denton,TX,1600000US4819972,0,1,2
67,Denver,CO,1600000US0820000,0,1,2
68,Des Moines,IA,1600000US1921000,0,0,1
69,Detroit,MI,1600000US2622000,1,0,3
70,Downey,CA,1600000US0619766,1,0,3
71,Durham,NC,1600000US3719000,0,1,2
72,El Monte,CA,1600000US0622230,1,0,3
73,El Paso,TX,1600000US4824000,0,0,1
74,Elgin,IL,1600000US1723074,0,0,1
75,Elizabeth,NJ,1600000US3421000,1,0,3
76,Elk Grove,CA,1600000US0622020,0,0,1
77,Escondido,CA,1600000US0622804,1,1,4
78,Eugene,OR,1600000US4123850,1,1,4
79,Evansville,IN,1600000US1822000,1,0,3
80,Everett,WA,1600000US5322640,0,0,1
81,Fairfield,CA,1600000US0623182,0,0,1
82,Fargo,ND,1600000US3825700,0,1,2
83,Fayetteville,NC,1600000US3722920,0,1,2
84,Fontana,CA,1600000US0624680,1,0,3
85,Fort Collins,CO,1600000US0827425,0,1,2
86,Fort Lauderdale,FL,1600000US1224000,1,1,4
87,Fort Wayne,IN,1600000US1825000,1,1,4
88,Fort Worth,TX,1600000US4827000,0,1,2
89,Fremont,CA,1600000US0626000,0,1,2
90,Fresno,CA,1600000US0627000,1,0,3
91,Frisco,TX,1600000US4827684,0,1,2
92,Fullerton,CA,1600000US0628000,1,0,3
93,Gainesville,FL,1600000US1225175,0,0,1
94,Garden Grove,CA,1600000US0629000,1,0,3
95,Garland,TX,1600000US4829000,1,0,3
96,Glendale (AZ),AZ,1600000US0427820,1,1,4
97,Glendale (CA),CA,1600000US0630000,1,0,3
98,Grand Prairie,TX,1600000US4830464,0,0,1
99,Grand Rapids,MI,1600000US2634000,1,1,4
100,Green Bay,WI,1600000US5531000,0,1,2
101,Greensboro,NC,1600000US3728000,0,1,2
102,Gresham,OR,1600000US4131250,1,1,4
103,Hampton,VA,1600000US5135000,1,0,3
104,Hartford,CT,1600000US0937000,1,0,3
105,Hayward,CA,1600000US0633000,1,1,4
106,Henderson,NV,1600000US3231900,0,1,2
107,Hialeah,FL,1600000US1230000,1,0,3
108,High Point,NC,1600000US3731400,0,1,2
109,Hollywood,FL,1600000US1232000,1,0,3
110,Honolulu,HI,1600000US1571550,1,0,3
111,Houston,TX,1600000US4835000,1,1,4
112,Huntington Beach,CA,1600000US0636000,1,1,4
113,Huntsville,AL,1600000US0137000,0,1,2
114,Independence,MO,1600000US2935000,0,0,1
115,Indianapolis,IN,1600000US1836003,0,1,2
116,Inglewood,CA,1600000US0636546,1,0,3
117,Irvine,CA,1600000US0636770,0,0,1
118,Irving,TX,1600000US4837000,1,0,3
119,Jackson,MS,1600000US2836000,0,1,2
120,Jacksonville,FL,1600000US1235000,1,0,3
121,Jersey City,NJ,1600000US3436000,1,0,3
122,Joliet,IL,1600000US1738570,0,0,1
123,Kansas City (KS),KS,1600000US2036000,0,0,1
124,Kansas City (MO),MO,1600000US2938000,0,1,2
125,Kent,WA,1600000US5335415,1,1,4
126,Killeen,TX,1600000US4839148,0,0,1
127,Knoxville,TN,1600000US4740000,0,1,2
128,Lafayette,LA,1600000US2240735,0,0,1
129,Lakewood,CO,1600000US0843000,0,1,2
130,Lancaster,CA,1600000US0640130,0,0,1
131,Lansing,MI,1600000US2646000,1,1,4
132,Laredo,TX,1600000US4841464,1,0,3
133,Las Vegas,NV,1600000US3240000,1,1,4
134,Lexington-Fayette,KY,1600000US2146027,0,0,1
135,Lincoln,NE,1600000US3128000,0,0,1
136,Little Rock,AR,1600000US0541000,0,1,2
137,Long Beach,CA,1600000US0643000,1,0,3
138,Los Angeles,CA,1600000US0644000,1,0,3
139,Lowell,MA,1600000US2537000,1,1,4
140,Lubbock,TX,1600000US4845000,0,0,1
141,Madison,WI,1600000US5548000,0,1,2
142,Manchester,NH,1600000US3345140,0,1,2
143,McAllen,TX,1600000US4845384,1,0,3
144,McKinney,TX,1600000US4845744,0,1,2
145,Memphis,TN,1600000US4748000,0,1,2
146,Mesa,AZ,1600000US0446000,1,1,4
147,Mesquite,TX,1600000US4847892,1,0,3
148,Miami,FL,1600000US1245000,1,0,3
149,Miami Gardens,FL,1600000US1245060,1,0,3
150,Midland,TX,1600000US4848072,0,0,1
151,Milwaukee,WI,1600000US5553000,1,1,4
152,Minneapolis,MN,1600000US2743000,1,1,4
153,Miramar,FL,1600000US1245975,1,0,3
154,Mobile,AL,1600000US0150000,0,1,2
155,Modesto,CA,1600000US0648354,1,0,3
156,Montgomery,AL,1600000US0151000,0,1,2
157,Moreno Valley,CA,1600000US0649270,1,0,3
158,Murfreesboro,TN,1600000US4751560,0,1,2
159,Murrieta,CA,1600000US0650076,0,0,1
160,Naperville,IL,1600000US1751622,0,1,2
161,New Haven,CT,1600000US0952000,1,0,3
162,New Orleans,LA,1600000US2255000,1,1,4
163,New York,NY,1600000US3651000,1,1,4
164,Newark,NJ,1600000US3451000,1,0,3
165,Newport News,VA,1600000US5156000,0,0,1
166,Norfolk,VA,1600000US5157000,1,0,3
167,Norman,OK,1600000US4052500,0,1,2
168,North Las Vegas,NV,1600000US3251800,0,0,1
169,Norwalk,CA,1600000US0652526,1,0,3
170,Oakland,CA,1600000US0653000,1,1,4
171,Oceanside,CA,1600000US0653322,0,1,2
172,Oklahoma City,OK,1600000US4055000,0,1,2
173,Olathe,KS,1600000US2052575,0,1,2
174,Omaha,NE,1600000US3137000,0,1,2
175,Ontario,CA,1600000US0653896,1,0,3
176,Orange,CA,1600000US0653980,1,0,3
177,Orlando,FL,1600000US1253000,0,1,2
178,Overland Park,KS,1600000US2053775,0,1,2
179,Oxnard,CA,1600000US0654652,1,0,3
180,Palm Bay,FL,1600000US1254000,0,0,1
181,Palmdale,CA,1600000US0655156,0,0,1
182,Pasadena (CA),CA,1600000US0656000,1,0,3
183,Pasadena (TX),TX,1600000US4856000,1,0,3
184,Paterson,NJ,1600000US3457000,1,0,3
185,Pembroke Pines,FL,1600000US1255775,1,1,4
186,Peoria (AZ),AZ,1600000US0454050,0,1,2
187,Peoria (IL),IL,1600000US1759000,0,1,2
188,Philadelphia,PA,1600000US4260000,1,1,4
189,Phoenix,AZ,1600000US0455000,0,1,2
190,Pittsburgh,PA,1600000US4261000,1,1,4
191,Plano,TX,1600000US4858016,0,1,2
192,Pomona,CA,1600000US0658072,1,0,3
194,Port St. Lucie,FL,1600000US1258715,0,0,1
195,Portland (ME),ME,1600000US2360545,0,1,2
196,Portland (OR),OR,1600000US4159000,1,1,4
197,Providence,RI,1600000US4459000,1,0,3
198,Provo,UT,1600000US4962470,0,1,2
199,Pueblo,CO,1600000US0862000,0,0,1
200,Raleigh,NC,1600000US3755000,0,1,2
201,Rancho Cucamonga,CA,1600000US0659451,1,0,3
202,Reno,NV,1600000US3260600,0,1,2
203,Richmond (CA),CA,1600000US0660620,1,1,4
204,Richmond (VA),VA,1600000US5167000,1,0,3
205,Riverside,CA,1600000US0662000,1,0,3
206,Rochester (MN),MN,1600000US2754880,0,1,2
207,Rochester (NY),NY,1600000US3663000,1,1,4
208,Rockford,IL,1600000US1765000,0,1,2
209,Roseville,CA,1600000US0662938,0,0,1
210,Sacramento,CA,1600000US0664000,1,0,3
211,Salem,OR,1600000US4164900,1,0,3
212,Salinas,CA,1600000US0664224,1,0,3
213,Salt Lake City,UT,1600000US4967000,0,1,2
214,San Antonio,TX,1600000US4865000,0,1,2
215,San Bernardino,CA,1600000US0665000,1,0,3
216,San Buenaventura,CA,1600000US0665042,1,0,3
217,San Diego,CA,1600000US0666000,1,1,4
218,San Francisco,CA,1600000US0667000,1,1,4
219,San Jose,CA,1600000US0668000,1,1,4
221,Santa Ana,CA,1600000US0669000,1,0,3
222,Santa Clara,CA,1600000US0669084,1,1,4
223,Santa Clarita,CA,1600000US0669088,1,0,3
224,Santa Rosa,CA,1600000US0670098,1,0,3
225,Savannah,GA,1600000US1369000,0,0,1
226,Scottsdale,AZ,1600000US0465000,0,1,2
227,Seattle,WA,1600000US5363000,1,1,4
228,Shreveport,LA,1600000US2270000,0,0,1
229,Simi Valley,CA,1600000US0672016,1,0,3
230,Sioux Falls,SD,1600000US4659020,0,0,1
231,South Bend,IN,1600000US1871000,1,0,3
232,Spokane,WA,1600000US5367000,1,1,4
233,Springfield (IL),IL,1600000US1772000,0,1,2
234,Springfield (MA),MA,1600000US2567000,1,0,3
235,Springfield (MO),MO,1600000US2970000,0,1,2
236,St. Louis,MO,1600000US2965000,1,1,4
237,St. Paul,MN,1600000US2758000,1,1,4
238,St. Petersburg,FL,1600000US1263000,1,0,3
239,Stamford,CT,1600000US0973000,0,1,2
240,Sterling Heights,MI,1600000US2676460,0,0,1
241,Stockton,CA,1600000US0675000,1,0,3
242,Sunnyvale,CA,1600000US0677000,1,1,4
243,Surprise,AZ,1600000US0471510,0,0,1
244,Syracuse,NY,1600000US3673000,1,0,3
245,Tacoma,WA,1600000US5370000,1,0,3
246,Tallahassee,FL,1600000US1270600,0,1,2
247,Tampa,FL,1600000US1271000,0,0,1
248,Temecula,CA,1600000US0678120,0,0,1
249,Tempe,AZ,1600000US0473000,1,0,3
250,Thornton,CO,1600000US0877290,0,1,2
251,Thousand Oaks,CA,1600000US0678582,0,1,2
252,Toledo,OH,1600000US3977000,1,1,4
253,Topeka,KS,1600000US2071000,0,1,2
254,Torrance,CA,1600000US0680000,1,0,3
255,Tucson,AZ,1600000US0477000,0,1,2
256,Tulsa,OK,1600000US4075000,0,1,2
257,Vallejo,CA,1600000US0681666,1,0,3
258,Vancouver,WA,1600000US5374060,1,1,4
259,Victorville,CA,1600000US0682590,0,0,1
260,Virginia Beach,VA,1600000US5182000,0,1,2
261,Visalia,CA,1600000US0682954,1,0,3
262,Waco,TX,1600000US4876000,1,0,3
263,Warren,MI,1600000US2684000,1,0,3
264,Washington,DC,1600000US1150000,1,1,4
265,Waterbury,CT,1600000US0980000,1,1,4
266,West Covina,CA,1600000US0684200,1,0,3
267,West Jordan,UT,1600000US4982950,1,1,4
268,West Palm Beach,FL,1600000US1276600,1,0,3
269,West Valley City,UT,1600000US4983470,1,0,3
270,Westminster,CO,1600000US0883835,0,1,2
271,Wichita,KS,1600000US2079000,1,1,4
272,Wichita Falls,TX,1600000US4879000,0,0,1
273,Wilmington (DE),DE,1600000US1077580,1,1,4
274,Wilmington (NC),NC,1600000US3774440,1,1,4
275,Winston-Salem,NC,1600000US3775000,0,1,2
276,Worcester,MA,1600000US2582000,1,0,3
277,Yonkers,NY,1600000US3684000,1,1,4
